name,branch,custid,phone,gender
John Doe,Accra Central,CU-1001,0244123456,Male
Jane Smith,Kumasi Branch,CU-1002,0244123457,Female
Kwame Mensah,Accra Central,CU-1003,0244123458,Male
Ama Owusu,Takoradi Branch,CU-1004,0244123459,Female
Kofi Asante,Accra Central,CU-1005,0244123460,Male
Abena Boateng,Kumasi Branch,CU-1006,0244123461,Female
Yaw Mensah,Tema Branch,CU-1007,0244123462,Male
Akosua Adjei,Accra Central,CU-1008,0244123463,Female
Kwabena Osei,Kumasi Branch,CU-1009,0244123464,Male
Afua Agyeman,Takoradi Branch,CU-1010,0244123465,Female
Dora Appiah,Greater Accra,CU-1011,0544555745,Female
Yaa Dee,Accra Central,CU-1003,0540681524,Female
